item,itemLabel,edits_2018,activity_days_2018,human_editors_2018,edits_2019,activity_days_2019,human_editors_2019,edits_2020,activity_days_2020,human_editors_2020,edits_2021,activity_days_2021,human_editors_2021,human_editors,activity_days,edits,pageviews,enwikipageviews,zhwikipageviews,eswikipageviews,hiwikipageviews,arwikipageviews,bnwikipageviews,frwikipageviews,ruwikipageviews,ptwikipageviews,urwikipageviews,pageviews_2018,enwikipageviews_2018,zhwikipageviews_2018,eswikipageviews_2018,hiwikipageviews_2018,arwikipageviews_2018,bnwikipageviews_2018,frwikipageviews_2018,ruwikipageviews_2018,ptwikipageviews_2018,urwikipageviews_2018,pageviews_2019,enwikipageviews_2019,zhwikipageviews_2019,eswikipageviews_2019,hiwikipageviews_2019,arwikipageviews_2019,bnwikipageviews_2019,frwikipageviews_2019,ruwikipageviews_2019,ptwikipageviews_2019,urwikipageviews_2019,pageviews_2020,enwikipageviews_2020,zhwikipageviews_2020,eswikipageviews_2020,hiwikipageviews_2020,arwikipageviews_2020,bnwikipageviews_2020,frwikipageviews_2020,ruwikipageviews_2020,ptwikipageviews_2020,urwikipageviews_2020,pageviews_2021,enwikipageviews_2021,zhwikipageviews_2021,eswikipageviews_2021,hiwikipageviews_2021,arwikipageviews_2021,bnwikipageviews_2021,frwikipageviews_2021,ruwikipageviews_2021,ptwikipageviews_2021,urwikipageviews_2021,enwikititle,zhwikititle,eswikititle,hiwikititle,arwikititle,bnwikititle,frwikititle,ruwikititle,ptwikititle,urwikititle,HDI,Life expectancy at birth (years) SDG3,Expected years of schooling (years) SDG 4.3,Mean years of schooling (years) SDG 4.6,Gross national income (GNI) per capita (PPP $) SDG 8.5,roi_edits,roi_edits_2018,roi_edits_2019,roi_edits_2020,roi_edits_2021,roi_human_editors,roi_human_editors_2018,roi_human_editors_2019,roi_human_editors_2020,roi_human_editors_2021,roi_activity_days,roi_activity_days_2018,roi_activity_days_2019,roi_activity_days_2020,roi_activity_days_2021
Q28,Hungary,462,99,84,774,93,53,222,86,69,130,89,65,236.0,367,1588,16416371,8444463,870870,1818556,58602,804006,36603,1307229,2235196,831032,9814,4301980,2201119,216201,494368,12694,187115,7235,348557,595128,237097,2466,3911988,1990458,216263,451788,16162,172713,8933,301689,555520,195683,2779,3696741,1941687,171184,421841,13704,184970,9144,274069,488639,188988,2515,4505662,2311199,267222,450559,16042,259208,11291,382914,595909,209264,2054,Hungary,匈牙利,Hungría,हंगरी,المجر,হাঙ্গেরি,Hongrie,Венгрия,Hungria,مجارستان,0.854,76.9,15.2,12.0,31329.0,10331.259282567651,9291.533477321816,5047.726451612904,16577.313901345293,34394.36641221374,69267.38818565401,50611.52941176471,72444.22222222222,52810.58571428571,68267.60606060606,44609.703804347824,43019.8,41616.89361702128,42491.27586206896,50062.91111111111
Q971,Republic of the Congo,454,66,54,642,53,38,147,65,50,109,66,53,174.0,250,1352,6296949,2638397,190658,632708,33141,255391,24816,1366254,733954,418053,3577,1547519,673239,36103,152759,5714,55937,4780,305443,195995,116712,837,1552073,632394,42806,166372,7784,64876,5595,327180,190331,113657,1078,1561914,632438,47088,163511,7392,67034,7229,368619,163629,104048,926,1635443,700326,64661,150066,12251,67544,7212,365012,183999,83636,736,Republic of the Congo,刚果共和国,República del Congo,कांगो गणराज्य,جمهورية الكونغو,কঙ্গো প্রজাতন্ত্র,République du Congo,Республика Конго,República do Congo,جمہوریہ کانگو,0.574,64.6,11.7,6.5,2879.0,4654.064301552106,3401.14065934066,2413.799377916019,10553.472972972972,14867.663636363635,35982.56571428572,28136.70909090909,39796.74358974359,30625.764705882357,30285.98148148148,25087.446215139444,23097.298507462685,28742.09259259259,23665.36363636364,24409.597014925374
Q6404281,Kickapoo Tribe of Oklahoma,1,1,1,0,0,0,0,0,0,2,2,2,3.0,3,3,30099,30099,0,0,0,0,0,0,0,0,0,9343,9343,0,0,0,0,0,0,0,0,0,8463,8463,0,0,0,0,0,0,0,0,0,7289,7289,0,0,0,0,0,0,0,0,0,5004,5004,0,0,0,0,0,0,0,0,0,Kickapoo Tribe of Oklahoma,,,,,,,,,,,,,,,7524.75,4671.5,8463.0,7289.0,1668.0,7524.75,4671.5,8463.0,7289.0,1668.0,7524.75,4671.5,8463.0,7289.0,1668.0
Q233,Malta,448,77,66,587,62,47,138,69,54,99,65,53,197.0,273,1272,22279207,12480887,674965,2699110,37032,747301,52887,2462679,2009081,1106115,9150,6257542,3478671,147447,820055,8576,164851,9291,663392,568933,394613,1713,6252701,3410791,192737,839304,8341,193532,15613,699187,582596,308081,2519,4679818,2728804,146274,514157,8798,189042,13081,480261,389006,207974,2421,5089146,2862621,188507,525594,11317,199876,14902,619839,468546,195447,2497,Malta,马耳他,Malta,माल्टा,مالطا,মাল্টা,Malte,Мальта,Malta,مالٹا,0.895,82.5,16.1,11.3,39555.0,17501.340926944227,13936.619153674834,10633.84523809524,33667.75539568345,50891.46,112521.24747474748,93396.14925373136,130264.60416666669,85087.6,94243.44444444444,81310.97445255474,80224.89743589744,99249.22222222222,66854.54285714286,77108.27272727272
Q5750473,Hia C-eḍ O'odham,0,0,0,3,2,2,0,0,0,1,1,1,3.0,3,4,11919,6746,0,5173,0,0,0,0,0,0,0,1297,0,0,1297,0,0,0,0,0,0,0,3225,1897,0,1328,0,0,0,0,0,0,0,3853,2473,0,1380,0,0,0,0,0,0,0,3544,2376,0,1168,0,0,0,0,0,0,0,Hia C-eḍ Oʼodham,,Areneños,,,,,,,,,,,,,2383.8,1297.0,806.25,3853.0,1772.0,2979.75,1297.0,1075.0,3853.0,1772.0,2979.75,1297.0,1075.0,3853.0,1772.0
Q424,Cambodia,435,80,64,457,58,38,170,59,49,120,76,62,199.0,273,1182,14219878,8208165,1506723,1204868,167180,351644,57688,974322,1279737,463308,6243,3922309,2211707,428600,347034,41867,84920,14629,276949,383375,131870,1358,3681030,2081153,423145,304959,40604,94420,13943,267953,335155,117808,1890,3400089,1990921,309400,306475,41227,89319,16232,229187,295219,120186,1923,3216450,1924384,345578,246400,43482,82985,12884,200233,265988,93444,1072,Cambodia,柬埔寨,Camboya,कम्बोडिया,كمبوديا,কম্বোডিয়া,Cambodge,Камбоджа,Camboja,کمبوڈیا,0.594,69.8,11.5,5.0,4246.0,12020.1842772612,8996.121559633028,8037.183406113537,19883.56140350877,26582.23140495868,71099.39,60343.21538461538,94385.3846153846,68001.78,51054.76190476191,51897.36496350365,48423.56790123456,62390.338983050846,56668.15,41772.07792207792
Q27464926,Yakama Indian Nation,1,1,0,0,0,0,0,0,0,11,2,2,2.0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q36,Poland,445,94,87,518,88,69,681,100,87,167,79,67,281.0,361,1811,23899214,12799275,1041172,2749025,118076,805014,62869,1747616,3599527,971955,4685,6317537,3201840,227575,835782,22498,222448,21317,507539,926240,352298,0,5756337,3069828,248375,656191,28803,188330,14400,406914,921041,220793,1662,5558231,3011108,241303,616813,32107,179134,11861,398178,858232,207918,1577,6267109,3516499,323919,640239,34668,215102,15291,434985,894014,190946,1446,Poland,波兰,Polonia,पोलैंड,بولندا,পোল্যান্ড,Pologne,Польша,Polónia,پولستان,0.88,78.7,16.3,12.5,31623.0,13189.41169977925,14164.881165919283,11091.208092485547,8149.898826979472,37304.22023809524,84748.98581560283,71790.19318181818,82233.38571428572,63161.71590909091,92163.36764705884,66019.92817679558,66500.3894736842,64677.94382022472,55031.9900990099,78338.8625
Q659307,Jicarilla Apache,3,3,2,3,3,2,0,0,0,5,3,3,7.0,9,11,143085,127294,0,6643,0,0,0,2650,6498,0,0,38127,33566,0,1515,0,0,0,624,2422,0,0,34995,30399,0,2226,0,0,0,672,1698,0,0,35951,32477,0,1533,0,0,0,701,1240,0,0,34012,30852,0,1369,0,0,0,653,1138,0,0,Jicarilla Apache,,Jicarilla,,,,Jicarillas,Хикарилья,,,,,,,,11923.75,9531.75,8748.75,35951.0,5668.666666666667,17885.625,12709.0,11665.0,35951.0,8503.0,14308.5,9531.75,8748.75,35951.0,8503.0
Q790,Haiti,353,71,55,627,59,44,184,71,51,97,60,49,180.0,261,1261,15594365,7538059,907367,2812270,23391,356434,23892,2111093,1055362,763071,3426,3599321,1806796,121643,714812,6214,62917,4922,464515,215251,201417,834,3171286,1477214,117219,651747,4095,55728,3678,449008,231339,180386,872,3009657,1503125,98067,532219,3659,70458,3434,450031,194561,153242,861,5814101,2750924,570438,913492,9423,167331,11858,747539,414211,228026,859,Haiti,海地,Haití,हाइती,هايتي,হাইতি,Haïti,Республика Гаити,Haiti,ہیٹی,0.51,64.0,9.7,5.6,1709.0,12356.866085578447,10167.573446327684,5049.81847133758,16268.416216216216,59327.56122448979,86156.71270718232,64273.58928571428,70473.02222222222,57878.019230769234,116282.02,59520.47709923664,49990.569444444445,52854.76666666667,41800.79166666666,95313.131147541
